Trader Registration;;;;;
;;;;;
;Listing Renewal Period;Appears if uer selects “Yes” to Ongoing listing. Input Type: Dropdown (Weekly, Fortnightly, Monthly), Mandatory.;Not on SF;;
;Listing Duration;"Appears if user selects “No” to Ongoing listing. Input Type: Dropdown; Choices: 30 days (default), Custom; Mandatory";Not on SF;;
;Additional Information;"Input Type: Text Area; Constraints: Max 1000 characters; Optional. Does not allow telephone numbers, email addresses or URLs.";Description ;(textarea);Description__c
;Status;Dropdown: Approved, Haulage in Progress, Rejected, Pending. Mandatory;Listing Status (picklist);(picklist);Listing_Status__c
Admin-visible notes (per listing);Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
Wanted Listings;Wanted Listing ID;(system generated);WT Listing ID AND Wanted Listing Name ;(string);WT_Listing_ID__c
;;;Listing Link;(url);Listing_Link__c
;Buyer full name;Text, Mandatory;Wt Author ID;(string);Wt_Author_ID__c - Probably needs to also reference the SF Account/Contact
;Buyer company;Text, Mandatory;Company Name;(string);Company_Name__c
"Buyer info obtained in 6.4.2.2 Create a listing for wanted material
";Buyer warehouse location (Destination);Dropdown: locations provided during onboarding. Mandatory;Location of Waste;(string);Location_of_Waste__c - Probably needs to also reference the SF Site
;Material required name;"Material dropdown selections shown as one material name; Material type/Item/Form/Grading/Colour/Finishing. N/A selections excluded from the name. Mandatory";Material Group (string) AND Material Type (string) and Material (picklist);;Name
;Capacity per Month;"Input Type: Numeric; Constraints: Positive numbers; Mandatory";Not on SF;;
;Material Flow Index (MFI);"Input Type: Radio buttons; Low (0.1-10), Medium (10-40), High (40+)";MFI Range ;(picklist);MFI_Range__c
;Quantity Wanted;"Input Type: Numeric; Constraints: Positive numbers; Mandatory";Quantity AND Quantity Metric ;(string);Quantity__c - Quantity_Metric__c  is a separate field
;Packing;Dropdown: Bags, Bales, Boxes, Bulk Bags, Loose, Octabins/Gaylords, Pallets. Mandatory;How its packaged;(string);How_its_packaged__c
;How is the waste stored;Dropdown: Indoor, Outdoor, Both/Any. Mandatory;How its Stored ;(string);How_its_Stored__c
;Material Required From;"Input Type: Date Picker; Constraints: Future dates; Mandatory";;;Available_From__c
;Ongoing Listing;Input Type: Radio Button: Yes/No, Mandatory.;;;N/A
;Listing Renewal Period;Appears if the user selects “Yes” to Ongoing listing. Input Type: Dropdown (Weekly, Fortnightly, Monthly), Mandatory.;Frequency ;(picklist);N/A
;Listing Duration;"Appears if the user selects “No” to Ongoing listing. Input Type: Dropdown; Choices: 30 days (default), Custom; Mandatory";End Date ;(string);N/A
;Additional Information;"Input Type: Text Area; Constraints: Max 1000 characters; Optional. Does not allow telephone numbers, email addresses or URLs.";Comments AND Post Notes ;(textarea);Comments__c
;Status;;Listing Status ;(picklist);Listing_Status__c
Admin-visible notes (per listing);Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
Sales & Wanted Listing Approval actions;Listing approval - Approve;Input type: approve button;Listing Status (value: Approved);(picklist);Listing_Status__c
